Localité;ID;Code postal;ssCommune;Sous-commune;Commune principale;Province;;;;;;;;;;;;;;;;;;;;;
Saint-Nicolas;0612;0612;FAUX;;Saint-Nicolas;;;;;;;;;;;;;;;;;;;;;;
Bruxelles;1000;1000;FAUX;Non;BRUXELLES;BRUXELLES;;;;;;;;;;;;;;;;;;;;;
Assemblée Réunie de la Commission Communautaire;1001;1005;FAUX;;Assemblée Réunie de la Commission Communautaire;;;;;;;;;;;;;;;;;;;;;;
Raad van de Vlaamse Gemeenschapscommissie ;1002;1006;FAUX;;Raad van de Vlaamse Gemeenschapscommissie ;;;;;;;;;;;;;;;;;;;;;;
Assemblée de la Commission Communautaire Française;1003;1007;FAUX;;Assemblée de la Commission Communautaire Française;;;;;;;;;;;;;;;;;;;;;;
Chambre des Représentants;1004;1008;FAUX;;Chambre des Représentants;;;;;;;;;;;;;;;;;;;;;;
Senat de Belgique;1005;1009;FAUX;;Senat de Belgique;;;;;;;;;;;;;;;;;;;;;;
Vlaams parlement;1006;1011;FAUX;;Vlaams parlement;;;;;;;;;;;;;;;;;;;;;;
Parlement de la Communauté française;1007;1012;FAUX;;Parlement de la Communauté française;;;;;;;;;;;;;;;;;;;;;;
Laeken;1008;1020;VRAI;Oui;BRUXELLES;BRUXELLES;;;;;;;;;;;;;;;;;;;;;
Schaerbeek;1009;1030;FAUX;Non;SCHAERBEEK;BRUXELLES;;;;;;;;;;;;;;;;;;;;;
Organisations Sociales Chrétiennes;1010;1031;FAUX;;Organisations Sociales Chrétiennes;;;;;;;;;;;;;;;;;;;;;;
RTL-TVI;1011;1033;FAUX;;RTL-TVI;;;;;;;;;;;;;;;;;;;;;;
Ministère de la Région de Bruxelles Capitale;1012;1035;FAUX;;Ministère de la Région de Bruxelles Capitale;;;;;;;;;;;;;;;;;;;;;;
Etterbeek;1013;1040;FAUX;Non;ETTERBEEK;BRUXELLES;;;;;;;;;;;;;;;;;;;;;
International Press Center;1014;1041;FAUX;;International Press Center;;;;;;;;;;;;;;;;;;;;;;
VRT;1015;1043;FAUX;;VRT;;;;;;;;;;;;;;;;;;;;;;
RTBF;1016;1044;FAUX;;RTBF;;;;;;;;;;;;;;;;;;;;;;
European External Action Service;1017;1046;FAUX;;European External Action Service;;;;;;;;;;;;;;;;;;;;;;
