				9	100		1,29
Categorie	Categorie ID	Parent	Parent ID	Racine	Feuille	Description	Nb grains minimum
Aide administrative, sociale et juridique	100			VRAI	FAUX		1
Aide administrative	110	Aide administrative, sociale et juridique	100	FAUX	VRAI		1
Aide sociale	120	Aide administrative, sociale et juridique	100	FAUX	VRAI		1
Vie sociale	130	Aide administrative, sociale et juridique	100	FAUX	VRAI		1
Aide juridique	140	Aide administrative, sociale et juridique	100	FAUX	VRAI		1
Comparaison télécoms	150	Aide administrative, sociale et juridique	100	FAUX	VRAI		1
Comparaison assurances	160	Aide administrative, sociale et juridique	100	FAUX	VRAI		1
Maison et habitat	200			VRAI	FAUX		2
Petits travaux	210	Maison et habitat	200	FAUX	VRAI		2
Secteur	220	Maison et habitat	200	FAUX	FAUX		2
Chauffage	221	Secteur	220	FAUX	VRAI		2
Électricité	222	Secteur	220	FAUX	VRAI		2
Électroménager	223	Secteur	220	FAUX	VRAI		2
Menuiserie	224	Secteur	220	FAUX	VRAI		2
Pierre	225	Secteur	220	FAUX	VRAI		2
Plomberie	226	Secteur	220	FAUX	VRAI		2
Vitres	227	Secteur	220	FAUX	VRAI		2
Général	230	Maison et habitat	200	FAUX	FAUX		2
Déménagement	231	Général	230	FAUX	VRAI		2
Aménagement intérieur	240	Maison et habitat	200	FAUX	FAUX		2
Décoration	241	Aménagement intérieur	240	FAUX	VRAI		2
Textile	242	Aménagement intérieur	240	FAUX	VRAI		2
Aménagement extérieur	250	Maison et habitat	200	FAUX	FAUX		2
Jardinage	251	Aménagement extérieur	250	FAUX	VRAI		2
Quotidien	300			VRAI	FAUX		2
Mode d'emploi	310	Quotidien	300	FAUX	VRAI		2
Gardiennage	320	Quotidien	300	FAUX	FAUX		2
Baby-sitting	321	Gardiennage	320	FAUX	VRAI		2
Dog-sitting	322	Gardiennage	320	FAUX	VRAI		2
Garde-malade	323	Gardiennage	320	FAUX	VRAI		2
Home-sitting	324	Gardiennage	320	FAUX	VRAI		2
Aide aux personnes	330	Quotidien	300	FAUX	VRAI		2
Cours et langues	400			VRAI	FAUX		1
Coach	401	Cours et langues	400	FAUX	VRAI		1
Préparation aux concours	403	Cours et langues	400	FAUX	VRAI		1
Aide scolaire niveau primaire	410	Cours et langues	400	FAUX	FAUX		1
Mathématiques	411	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Sciences	412	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Sports	413	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Technologies	414	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Arts	415	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Histoire	416	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Géographie	417	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Philosophie et citoyenneté	418	Aide scolaire niveau primaire	410	FAUX	VRAI		1
Aide scolaire niveau secondaire	420	Cours et langues	400	FAUX	FAUX		1
Mathématiques	421	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
Sciences	422	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
Sports	423	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
Technologies	424	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
Arts	425	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
Histoire	426	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
Géographie	427	Aide scolaire niveau secondaire	420	FAUX	VRAI		1
